ID;bloque;biomasa;nivel_luz;agua_estival;supervivencia;carbono;estres
1;1;3.039767105;1;sequia;0;0.4551921371007872;alto
2;1;3.57351521;1;sequia;0;0.9926039441817848;alto
3;1;3.669172407;1;sequia;1;0.5977227997095047;alto
4;2;4.592333637;1;sequia;1;3.8564676001124827;alto
5;1;4.337278433;1;sequia;1;2.8733714727748807;alto
6;2;2.254230208;1;sequia;1;0.7821524839386417;alto
7;2;4.120927747;1;sequia;1;2.096063792939016;alto
8;2;2.450195201;1;sequia;1;0.7770353300053241;alto
9;1;4.460790449;1;sequia;1;1.3594286598265837;alto
10;1;3.50549022;1;sequia;0;0.8493081808903459;alto
11;2;3.494808318;1;sequia;1;0.9823086527312141;alto
12;2;2.803401268;1;sequia;1;2.0469917246564693;alto
13;2;3.906774394;1;sequia;0;1.5204946184720747;alto
14;1;3.161899808;1;sequia;0;1.3401682212330586;alto
15;2;3.805578936;1;sequia;1;1.7077059242100576;alto
16;1;3.613398898;1;sequia;1;2.3360449554261002;alto
17;2;2.905758833;1;sequia;0;0.8623921261680774;alto
18;1;3.83390852;2;sequia;0;0.7725270839902094;intermedio
19;1;4.243265843;2;sequia;1;3.119391848497267;intermedio
20;1;4.200554596;2;sequia;1;1.3095958027284715;intermedio
21;1;4.589319317;2;sequia;0;1.1720516021379195;intermedio
22;2;3.825999634;2;sequia;1;0.5844037535256965;intermedio
23;1;3.983745672;2;sequia;1;0.5699021290932249;intermedio
24;1;4.386828883;2;sequia;0;1.2511468657879177;intermedio
25;1;4.481018664;2;sequia;1;2.3462486617621012;intermedio
26;1;4.052700107;2;sequia;1;2.520656377078844;intermedio
27;2;4.506790951;2;sequia;0;2.4405069384198432;intermedio
28;2;3.556636397;2;sequia;0;1.1639752030232766;intermedio
29;1;3.456546585;2;sequia;1;1.4239243224041411;intermedio
30;2;3.788769973;2;sequia;0;0.9815972042653932;intermedio
31;1;5.128334874;2;sequia;0;1.3157069675467674;intermedio
32;2;4.666188083;2;sequia;1;2.6920643563892215;intermedio
33;1;4.890898158;3;sequia;1;0.9629272888058911;intermedio
34;2;4.359968636;3;sequia;0;3.4489915271414415;intermedio
35;2;4.651058789;3;sequia;0;1.776407167333243;intermedio
36;1;4.004907311;3;sequia;0;1.7738045474521422;intermedio
37;1;3.775475238;3;sequia;0;0.9525314828357532;intermedio
38;1;5.303348711;3;sequia;1;1.512102780906197;intermedio
39;1;4.913395856;3;sequia;1;0.6711540210492556;intermedio
40;2;4.355570292;3;sequia;1;1.5828792393502376;intermedio
41;1;5.346758612;3;sequia;1;2.58674300116127;intermedio
42;2;4.210947477;3;sequia;1;1.9575047027653008;intermedio
43;2;4.643838976;3;sequia;1;1.1316696704498053;intermedio
44;1;3.762373176;3;sequia;0;0.9115312405709303;intermedio
45;1;4.784045868;3;sequia;1;1.4331100065193882;intermedio
46;1;5.061068511;3;sequia;1;3.5387605137409865;intermedio
47;1;4.732331057;1;lluvia;0;0.8165129737369896;intermedio
48;2;4.940284857;1;lluvia;1;1.79920076673236;intermedio
49;1;4.371103162;1;lluvia;0;3.411525219601768;intermedio
50;1;4.792484194;1;lluvia;1;1.8202095692141447;intermedio
51;2;5.155838957;1;lluvia;1;0.6601116475846719;intermedio
52;1;4.554048407;1;lluvia;0;1.2161409252535733;intermedio
53;1;4.723659818;1;lluvia;0;2.34809348632002;intermedio
54;1;4.227932386;1;lluvia;0;1.3735682453185527;intermedio
55;1;4.82789885;1;lluvia;1;1.3886230901151644;intermedio
56;2;4.478339002;1;lluvia;1;1.4833000081885113;intermedio
57;2;4.580676753;1;lluvia;0;1.9151778787550149;intermedio
58;1;5.209544624;1;lluvia;1;3.7493184046279175;intermedio
59;2;3.889086016;1;lluvia;1;1.486746938575039;intermedio
60;1;4.98408474;2;lluvia;0;3.070993151153693;intermedio
61;1;3.739064897;2;lluvia;1;1.9673120732934624;intermedio
62;2;2.972022406;2;lluvia;1;1.1212608992680502;intermedio
63;2;3.883743897;2;lluvia;0;0.3628177991149127;intermedio
64;1;4.625732934;2;lluvia;1;1.3681832659439144;intermedio
65;1;2.910897715;2;lluvia;1;0.8791665294626402;intermedio
66;2;3.133804555;2;lluvia;1;1.2830763772353033;intermedio
67;1;2.12011379;2;lluvia;1;1.3993593452522384;intermedio
68;1;3.755660112;2;lluvia;1;3.2246690919366667;intermedio
69;1;4.844169208;2;lluvia;1;3.4370165857626422;intermedio
70;1;4.795365093;2;lluvia;0;1.7904445399115385;intermedio
71;2;4.137797896;2;lluvia;1;0.2014880860790495;intermedio
72;1;3.620239758;2;lluvia;1;1.1666006389955277;intermedio
73;1;5.169997182;2;lluvia;0;2.1602390911805958;intermedio
74;1;5.101854445;2;lluvia;0;2.9029684481768503;intermedio
